protein_id	md5	length	has_internal_stop	in_uniparc	n_interpro	n_pfam	n_go	n_interpro_gos	interpro_gos
APU25_00185	6DA292B8F3B830E1E5682E676D338D68	108	no	yes	5	2	0	4	GO:0003676,GO:0003899,GO:0006351,GO:0008270
APU25_00190	0A62560D5558B5EDA6515198A6D13756	132	no	no					
APU25_00195	E250E665ADCB5210988DBE3A9388EEBB	267	yes	no					
APU25_00200	02A655F13454D11C082B12FB04DC1A32	869	no	no					
APU25_00205	A0E5CB37361B26E615AF4301DB3BC1F2	653	no	no					
APU25_00210	98034A96C1C0E9EED265949ACDC3CBE8	424	no	yes	3	1	0	1	GO:0016491
APU25_00215	25EE004F274D41D9A17E8A05161EB1B7	773	no	yes	3	2	0		
APU25_00220	0C8CA1BCECFD44CF2F8A3FFE92AF77C5	213	no	yes	5	2	0	1	GO:0006261
APU25_00225	6624BE774C9A604DF10881D9C5B98566	400	no	yes	6	2	0	5	GO:0004665,GO:0006571,GO:0008977,GO:0033730,GO:0070403
APU25_00230	DBFBA365E7054232411043B81B97BEDC	151	no	yes	2	1	0	2	GO:0003899,GO:0006351
APU25_00235	D3F4FBF38126D4B526549780A0001E57	922	yes	no					
APU25_00240	48DA4D4A81ECA31ABDD709D6A958DA6A	113	no	yes	2	1	0	1	GO:0005840
APU25_00245	42CAF15B58905576F350A5ACE6DD957F	63	no	yes	0	0	0		
APU25_00250	FA59218DC1D23EE11D117A2AED62BEE1	423	no	yes	4	2	0	2	GO:0000127,GO:0006384
APU25_00255	FA5B32CA5F96C52C518DEF293A74A055	759	no	no					
APU25_00260	187F1D020E9CBE45C35A10E1E70165B2	318	no	yes	3	1	0		
APU25_00265	ECAD4ACFED2571A7D94B66BBAB27CDDA	609	no	no					
APU25_00270	A926CE25EEAD9651361B8A67ED95991B	3123	no	no					
APU25_00275	165D194097ED45DCFC285A3348BF9FCA	536	no	no					
APU25_00280	6F941A3411362965CF0DD2D3F7D86273	246	no	yes	3	1	0		
APU25_00285	5B9B3B4F55D53C13163C59ED8350C209	432	no	no					
APU25_00290	C328F97928D66B822683F917D9F530C0	357	no	yes	1	0	0		
APU25_00295	98295AEAE9B63E4BCF5BA0292267AC84	167	no	yes	5	1	0	2	GO:0016226,GO:0051536
APU25_00300	426FA247DDCBFF78671B914BEBB13CBC	418	no	yes	6	2	0	3	GO:0003676,GO:0003724,GO:0005524
APU25_00305	9F9F8A4BD0B119D5670BB53A5A74A86A	331	no	no					
APU25_00310	A2D38DF4B7466EB7F6F7816FBC39CC2D	93	no	no					
APU25_00315	5E637EBE73DB953E7781A62E33F723B8	760	no	no					
APU25_00320	8A03EE33BD692E698708612493E2971A	413	no	yes	3	1	0		
APU25_00325	70B030DC4D3C0958E91D5384C1127565	756	no	no					
APU25_00330	73EA84C8190F24B2879CF3F464008255	619	no	yes	7	2	0	6	GO:0000166,GO:0004812,GO:0004825,GO:0005524,GO:0006418,GO:0006431
APU25_00335	28356C6DC1DFBC1E69958D36254AF57E	7068	no	no					
APU25_00340	4749148C8BD106ECADE3E3F0D63662AE	261	no	yes	7	2	0	3	GO:0005674,GO:0006366,GO:0006367
APU25_00345	18FD7DAF525A12958B82CB5A9C5F81B4	1130	no	no					
APU25_00350	9290AB2B0FB9057E75E2283D77A224DB	355	no	yes	3	2	0	1	GO:0000166
APU25_00355	3AD7C3F83525973FE25A50B68FBA7C85	315	no	no					
APU25_00360	6548A09B8FC272B1090A615B7D1CBF38	451	no	yes	5	2	0	5	GO:0004402,GO:0005634,GO:0006325,GO:0016747,GO:0031509
APU25_00365	8BF6777FE8DAEC75BD75D56FF10CB2AC	416	no	no					
APU25_00370	83BA68DF21AFDB4F1D7ECC65DC1F88E5	219	no	no					
APU25_00375	5D44B07518B525CC16317FA9F6B12E02	548	no	no					
APU25_00380	009E81F6602112A56CF27D962D43E4E2	435	no	no					
APU25_00385	BE302D9DC1A59D29030AD591A43169CE	752	yes	no					
APU25_00390	F3EC1759ED90E05B2B8D443D08B9D082	567	no	yes	1	1	0	3	GO:0009101,GO:0016020,GO:0016758
APU25_00395	07222F03C08C78B7581E2B425CC9B018	557	no	no					
APU25_00400	6FCD1493521E7B004432D1D606EED157	595	no	no					
APU25_00405	842BAD55F63A9079B8F0F0859A2F583D	280	yes	no					
APU25_00410	44568E72F34A4DC138FE6E3133D541DC	267	no	no					
APU25_00415	9613263ECA5A8FCE1F58B3FA4023460A	1303	no	no					
APU25_00420	E8F61CD290996D944CB70FECC464ACF0	266	no	no					
APU25_00425	0B3509E40905DB1CB5838F4195A06A4F	1022	no	no					
APU25_00430	D08673185101A9F1258CB13E7A8E97F0	173	no	yes	2	1	0	1	GO:0005515
APU25_00435	D24D8FF40CC1BD85376D138057077DC9	218	no	no					
APU25_00440	BD0E37B09316A64D08F6C0681CF1602B	1711	no	no					
APU25_00445	A9AA2C6A291D5EC8FE594146AA8AE274	336	no	no					
APU25_00450	ED77262197A1B9AF65F2BBBC0E9923C4	279	no	no					
APU25_00455	A5FED89D016F9FB7CBA54B220388AC72	494	no	yes	5	2	0	2	GO:0004325,GO:0006783
APU25_00460	32F68E566A82FDF499622D3D79702D76	238	no	yes	0	0	0		
APU25_00465	1C8D81EF98EEBB16E496667E9CB6DF3E	792	no	no					
APU25_00470	BA6FE1A92614667BE7468682F86D06A5	461	no	yes	2	1	0	1	GO:0043087
APU25_00475	1E2ABE8D10CCD59BA0C28D2C631D6BE9	346	no	no					
APU25_00480	7C6759BE2D6452FFF3C1C0BE2FB24DC8	122	no	yes	1	1	0	1	GO:0000123
APU25_00485	D368605C4B2E87F4ECD782E631C94D05	1333	no	no					
APU25_00490	88A04677C25607E3D99C1F17F70E39B7	157	no	yes	1	1	0	1	GO:0016192
APU25_00495	544790B31A1490413DBD564354ACF7EB	592	no	yes	8	2	0	7	GO:0000166,GO:0003676,GO:0004812,GO:0004816,GO:0005524,GO:0006418,GO:0006421
APU25_00500	B1F367ECF63F2331215DCBD530D92DEC	584	no	yes	6	1	0	1	GO:0016491
APU25_00505	B1BD4965C0E8D5077D4897E8F69A1A2D	145	no	no					
APU25_00510	B7D6DA4BCB2361F2B2057AFE7254D31C	91	no	no					
APU25_00515	CAAB1997F67CDB92B5A658B853F4B191	110	no	no					
APU25_00520	53B07F26449124748495CD5042632544	651	no	no					
APU25_00525	0E6F52B992F9A5A6072B4063EF0535E5	194	no	yes	2	1	0		
APU25_00530	75544ECF4B480F59A66EBA7E951584DD	974	no	no					
APU25_00535	ADE1262AA8AD167760B5849B96A5BB7F	1028	no	yes	7	4	0	2	GO:0016624,GO:0030976
APU25_00540	C27D4930B0FFFBF2DA49FCD0BCBD9AAB	297	no	no					
APU25_00545	D4FFE25CE4043119AC067FCE1159D052	192	no	no					
APU25_00550	7689270260099EF0A9FBC6F4ACF158D0	210	no	yes	3	1	0		
APU25_00555	1484853E7F490F55E116BCA32C48ABB1	506	no	yes	4	1	0	1	GO:0005515
APU25_00560	42E2D52E893864EE6B6A3AC23490302B	345	no	yes	3	1	0	2	GO:0042732,GO:0070403
APU25_00565	B754ACDED4189B9D20C165AA73C5B2C1	330	no	no					
APU25_00570	80C332D0B7F3D11267CBD32D3966FF6A	345	no	yes	3	1	0		
APU25_00575	B05490630D6BE3180DCDBFF35BDA3CB2	335	no	no					
APU25_00580	90AC616E9635A04C3EDA4344ED8779EE	585	no	no					
APU25_00585	079D39823B0EAD4D97EE7F00372C6D20	544	no	yes	8	3	0	3	GO:0016491,GO:0030151,GO:0043546
APU25_00590	9533F140329528C859FE1847EA2857FF	1830	no	no					
APU25_00595	EB393B3240ED033CD263F4DB9E21F36F	868	no	no					
APU25_00600	5C515CFFE8596F4DB659C383A13F3233	192	no	yes	3	1	0		
APU25_00605	0C9BDE3D23ED47A9D8E30AB2CF5FB2A2	305	no	yes	0	0	0		
APU25_00610	B340C4004C2B7D5842C13660B6EC9354	306	no	yes	4	0	0		
APU25_00615	465AE81E6DD46B24FB7E31094FAFA648	342	no	no					
APU25_00620	BA0FF863C4B9072933BC49D313407334	203	no	yes	2	1	0	3	GO:0005737,GO:0120009,GO:0120013
APU25_00625	8A6EE6478308A881EEC5634CA8D71622	204	no	yes	2	1	0	3	GO:0005737,GO:0120009,GO:0120013
APU25_00630	2DF5AD3398085A329D835042C45D1B7E	1043	no	no					
APU25_00635	BC7CCA9A0EC2A8A79EF2BFE4BA4FA474	73	no	no					
APU25_00640	820FDDDBC02E20BDD63AFD0280B705B4	404	no	no					
APU25_00645	2D5E90E5844A6DB11B63348794292B6B	545	no	no					
APU25_00650	9840F046107807465F941EDAB0D38956	645	no	no					
APU25_00655	CA556E6C15911E74D8C5756A817B89FF	202	no	yes	2	1	0		
APU25_00660	A858BABA9CB6731B97A081FFDEF14239	470	no	no					
APU25_00665	268647F11B40CD9EB01E434B0C9BA1BC	647	no	no					
APU25_00670	DC2A921E64FC19AE5495A029F7DB772F	205	no	yes	2	1	0		
APU25_00675	5C577D150CB901154874783016941C1E	471	no	no					
APU25_00680	93A28801F540FB6A630F70AA852F2ECC	718	no	no					
APU25_00685	E0C3DC74457032CB0821B0E4E4C42902	108	no	no					
APU25_00690	6EB4C82F4D40E290C4E1D091B1659C35	336	no	no					
APU25_00695	355AF3E000D7CF2D77EFCC10973D31AB	211	no	yes	0	0	0		
APU25_00700	EBAB716D61ED1AF409504ED5854486AF	253	no	no					
APU25_00705	922998EBCEA1E08B1DA4654DB901DAB7	2670	no	no					
APU25_00710	67DBCFC4B16009DF19F90CF1348B5592	281	no	yes	4	1	0	4	GO:0009055,GO:0022900,GO:0051536,GO:0051537
APU25_00715	6DE731B26C06108D79593A41FFCDF27D	394	no	no					
APU25_00720	E2C849F1782A15A716E79D6D29CE22A3	454	no	yes	3	1	0	2	GO:0003676,GO:0003723
APU25_00725	F38E949A857C48B038CCA08C4095B8DD	794	no	no					
APU25_00730	798E0C23CFA3DFDD239D91260006F4D1	757	no	no					
APU25_00735	7D12242305319064EBC7F5BAC32B4581	560	no	no					
APU25_00740	C47D7E5D2A898385EA0F8B968106CC69	787	no	no					
APU25_00745	3C22E53F00ACDD1767BC9BD0F9100A43	786	no	yes	4	2	0	1	GO:0016491
APU25_00750	38069ED4DA56C30652C613BDC232CA70	741	no	no					
APU25_00755	4CD6BB44716875B05384212CCB882EA7	261	no	yes	3	1	0	1	GO:0008757
APU25_00760	4E366A2050EAE58FC7D0593B7947CD8D	143	no	no					
APU25_00765	DF2A3F604947D55C2E03C584EFB157BC	524	no	yes	8	2	0	4	GO:0004672,GO:0005509,GO:0005524,GO:0006468
APU25_00770	DD21BBA2AD16004B953B7DDB184B50B8	210	no	no					
APU25_00775	89E5A9DEF9AA67139CDB0AD6687BDAE7	388	no	no					
APU25_00780	A366C8011C02249F1EA9826364E32983	386	no	no					
APU25_00785	EECA20ECA6550D64388153D9944DF4E4	379	no	no					
APU25_00790	5D09312E0576568B5C13B410E7B55819	346	no	no					
APU25_00795	429FC7FCDDB3B64C98358D36F145FE37	354	no	yes	4	1	0		
APU25_00800	098168F696690A9F228CC29B86688F52	574	no	no					
APU25_00805	F23D0D427E570DFD510925B7582C5F00	1215	no	no					
APU25_00810	2D88904D6A1B014CBF64EAD7BA079EE2	783	no	no					
APU25_00815	D5A97CF91699D22616F410F8D98EB5E3	265	no	yes	5	1	0	1	GO:0003858
APU25_00820	2D13B98C139080E72EA12E431F550FFF	915	no	no					
APU25_00825	B689986384719744701D30F8500EFB3C	224	no	yes	3	1	0		
APU25_00830	7D5B70D2C91856A2A48765FCA3D3B594	789	no	no					
APU25_00835	2A3F51EACE6C9590E9925821B36E60D8	516	no	no					
APU25_00840	87CE99E4BE363495E2CF6CA97AA9DC24	560	no	no					
APU25_00845	D3010D6AE5E68764989C78AB33A39BE6	519	no	no					
APU25_00850	90F3438F79AD3FFA3892429C6447BF11	219	no	no					
APU25_00855	4666696C8049B5B18BA71B10D07E4231	304	no	no					
APU25_00860	7C26062E8A9847618E76BE6B12984572	703	no	no					
APU25_00865	5378928E0642123B074F0846DC4FEB55	352	no	yes	3	1	0	1	GO:0005515
APU25_00870	5D95C33685A1566DB2AE4CEBD9D182BA	880	no	no					
APU25_00875	4274E5A9F375DE87C2B588F21B081448	656	no	no					
APU25_00880	3C88C080444C0E504BE8B95F79CA1A3E	373	no	yes	3	0	0	2	GO:0000160,GO:0009736
APU25_00885	167FE49503F661007E65215A03072C1B	264	no	yes	2	1	0		
APU25_00890	2A60E944C00EB789A7DF6F14FB8BC921	379	no	no					
APU25_00895	A4EAF759E88CAF10BCA2399F0030F3B2	528	no	no					
APU25_00900	E1F971368FE81972886243B060C18036	222	no	no					
APU25_00905	8DE4FCBB01046CD7E3B5E6A51DD75118	340	no	yes	5	2	0	3	GO:0005242,GO:0006813,GO:0016020
APU25_00910	B3D9ECD7E490F125DF88DB3DC2208D69	127	no	no					
APU25_00915	CE92017B4B6BCE6DB24BF666CA589814	335	yes	no					
APU25_00920	96A19700D721D10BFD851408E71EF32F	791	no	no					
APU25_00925	4B585398C6554EE85DA85B1D6776B29A	77	no	yes	0	0	0		
APU25_00930	E42286FF13140C112302692A4000562F	337	no	yes	1	1	0	2	GO:0008318,GO:0018342
APU25_00935	7F62F530565A05F1935AD597661CFDE4	495	no	no					
APU25_00940	3D866A94210F852E63D078B5B5FD88ED	300	no	no					
APU25_00945	63C250D7B9A3CBD4E8B39A61C26A0A8E	490	no	yes	6	2	0	4	GO:0003848,GO:0004156,GO:0009396,GO:0042558
APU25_00950	53E6F000DB068C86620C0E440D15BC80	110	no	yes	1	1	0	1	GO:0000398
APU25_00955	CFC022B7C315DCFA97A2E1960CECF430	387	no	yes	1	1	0		
APU25_00960	90CE49324766C4CAAEB253FC7C54A620	990	no	no					
APU25_00965	BEDA8C7C3D3C373BE8D17B47A8B0AE46	456	no	no					
APU25_00970	617D0CD6D7F9E60433C85A270021A981	362	yes	no					
APU25_00975	9F8D0724C66FE9189BA15CCDCAB25380	634	no	yes	4	1	0	5	GO:0004611,GO:0004612,GO:0005524,GO:0006094,GO:0017076
APU25_00980	FAE3335A3967070E8855D5D0072EF075	264	no	yes	2	1	0	2	GO:0005506,GO:0008610
APU25_00985	8F14E63CE13CF46218A0EB3D59C3A6DA	415	no	yes	7	2	0	4	GO:0003824,GO:0004076,GO:0009102,GO:0051536
APU25_00990	436DE55771116670659215693C5BA974	170	no	yes	2	2	0	1	GO:0005515
APU25_00995	3793F1D107D1A7B666FAE9B6A6F5BAB7	354	no	no					
APU25_01000	6A6A092D69B56B1BAE73CC85B32F0B31	390	no	yes	3	1	0	2	GO:0004722,GO:0006470
APU25_01005	42C2A53F99262A947FEA11A13431EA49	80	no	no					
APU25_01010	48477B2CE03994F08060E9E5DB7F2FDE	845	no	yes	3	1	0	1	GO:0006629
APU25_01015	A3BA7E38403600E439F9598B578BA1DA	368	no	no					
APU25_01020	7C3287F0C29C8282F758930D8EDDECDA	189	no	yes	0	0	0		
APU25_01025	FBCC41A4FEB4C66B0AD05249C71DD8C8	725	no	no					
APU25_01030	9C0FE5E8BFC305D4AA0C4CE794F14691	1091	no	yes	12	4	0	4	GO:0000166,GO:0003676,GO:0003677,GO:0003887
APU25_01035	894D2700BD54C1EF5EB50EA92A9E32A3	368	no	no					
APU25_01040	D79FE488326379E0A3D2C76E1474C3D2	178	no	yes	0	0	0		
APU25_01045	5D18BA7C044DBD78F9BCAC44AC309955	508	no	yes	1	1	0	1	GO:0016758
APU25_01050	F3930122F7191D000329DE9DFA43D5E4	178	no	yes	1	1	0	1	GO:0003352
APU25_01055	B9EF328911A3CCC1C0D701F2438430F6	1382	no	no					
APU25_01060	5AE63C2A5B77B3338A7FF97B6AD10DA6	478	no	yes	4	1	0	5	GO:0000105,GO:0004399,GO:0016616,GO:0046872,GO:0051287
APU25_01065	D0D10E55E5D67AD7FCC77160F4604520	74	no	yes	3	1	0	4	GO:0003677,GO:0003899,GO:0006351,GO:0008270
APU25_01070	829F92EE99C4303B82480F569DCAB796	567	no	no					
APU25_01075	73E816854EB290E82E1DE1ED2D21ED60	556	no	yes	0	0	0		
APU25_01080	82F454F3A9B4E56CA5C10EEF28CD93C6	576	no	yes	1	1	0	1	GO:0016757
APU25_01085	414F49590717FDB4808F723E625E6CE9	671	no	no					
APU25_01090	6C9F0CB4C4CF34023279CD2F48B78925	273	no	no					
APU25_01095	D5E29430D9A0CCEF6E12BD1CF9742350	95	no	no					
APU25_01100	390E048C827D6285ED56B535377F522D	485	no	no					
APU25_01105	A9A66A0F0D0C743C0232DD683AD21BC4	303	no	yes	2	1	0	1	GO:0016020
APU25_01110	56F6B1E69DD2D7E1B0C11DFACCEACB54	468	no	no					
APU25_01115	AFAB0905B0BAFF2705A0ECD20A31044D	1342	no	no					
APU25_01120	3ED449CD1850C09840C847E5DAA6FADA	521	no	no					
APU25_01125	C1BC122ECB28DF952955357587531BA8	1630	no	no					
APU25_01130	48D6F65F28F51786923DABBA44561ECE	428	no	yes	5	1	0	1	GO:0004407
APU25_01135	D871FC281B3617F80ACFB050650BD297	120	no	no					
APU25_01140	9DDBE0CCE35C5AFB3908CB4A030CDD3C	245	no	yes	0	0	0		
APU25_01145	7ABD33784136A3B9BBE18A498B3E10D1	513	no	no					
APU25_01150	62EE9F5CFC8985E368EAE169EBB3AFB8	1105	no	yes	6	3	0	3	GO:0003676,GO:0005515,GO:0005634
APU25_01155	A7A9C7113726FF34EBFCCE86AFC874FA	372	no	yes	3	1	0	2	GO:0003924,GO:0005525
APU25_01160	13A59BAD270EC8DC6CDA90EAF7C1047D	358	no	no					
APU25_01165	CB8BA9383E2F5B0519292830AC6A4FF8	534	no	yes	2	1	0	2	GO:0006357,GO:0035267
APU25_01170	27C9D25B5E115E255CB2B893DDF8413E	418	no	no					
APU25_01175	8F96288801005C0F30A06630390EB868	552	no	no					
APU25_01180	CFC54E8BD5EEBA5D5E10C3C46FF29BAC	404	no	no					
APU25_01185	775AD1C23C6A5F1194EEB69ECF16E780	360	no	no					
APU25_01190	559FD54D7A57FAC3ECF5F95864420434	564	no	no					
APU25_01195	AC01A5A04D61430D0BAC690410164E7C	413	no	yes	4	2	0	2	GO:0005524,GO:0016887
APU25_01200	1F67A8C1F0901FA5C116D0CEBABB6733	118	no	no					
APU25_01205	73CB6E3EA7E873A4BE88B99B36F65E62	316	no	no					
APU25_01210	7E61F4A48E9C32BB6DF325D8E48F9DF2	221	no	no					
APU25_01215	7F588F45720DCF2EF12177B8FAD10F72	1153	no	no					
APU25_01220	5188C258D0958BB2366795B63BC5B203	330	no	no					
APU25_01225	C9CE51B8A0413365C97E9D82C11D4EAF	325	no	no					
APU25_01230	6EE4EADB613EF28AEBA2B5D2BDA7F0CD	322	no	yes	4	1	0		
APU25_01235	1CD31BE1497E6C05BA3DB5F23AD757F2	501	no	no					
APU25_01240	377D8596FC8048353F37E7BA57DB569B	318	no	yes	7	2	0	1	GO:0005515
APU25_01245	6048057FA4096C8C374717C65EFA86A4	454	no	yes	1	1	0	1	GO:0016787
APU25_01250	405341EEA2102B41FE1E94796E31B659	375	no	no					
APU25_01255	C12BBE3FD29889AFE0C9E5E4ECA458F8	1424	no	no					
APU25_01260	502C56286CFA8AD968CF361126965612	835	no	no					
APU25_01265	047101A6C3D69BFC01E0ED1355BA9CF2	88	no	no					
APU25_01270	F5320102B0CD56961B773F7BD44364A7	195	no	no					
APU25_01275	2498C08F07C467B1CD58B3CBAB7C9764	1004	no	no					
APU25_01280	230EFB75B54564DEAF4B28E380CC87A3	409	no	no					
APU25_01285	9FFE35BCDF0F5F0436A6137DF7982EA9	284	no	yes	3	1	0	4	GO:0004659,GO:0016020,GO:0016765,GO:0042372
APU25_01290	256D296B3CD9FACD798B503D3E6C5988	514	no	yes	0	0	0		
APU25_01295	E0BD89645FAB68A15880A5124C7DD01F	277	yes	no					
APU25_01300	976871B751FFF21942182CE1D67DF090	864	no	no					
APU25_01305	9533CF58CD23EEC432313986C99EF262	1308	no	no					
APU25_01310	EE773E60FF2FCD2E11278B84A9257FCD	616	no	no					
APU25_01315	AFCA893C133349E5FB56BA75189DE42C	445	no	yes	2	1	0	1	GO:0003676
APU25_01320	498CEA324B437236B0FBB0F90013ECB1	240	no	yes	7	1	0		
APU25_01325	E5D7D4628AD450E0EBC0E874096BD40B	107	no	yes	2	1	0	3	GO:0003735,GO:0005840,GO:0006412
APU25_01330	B34821E267FAAD0E8936EC45D8E8FCBD	1321	no	no					
APU25_01335	E0248AEF047506D74926643165406006	768	no	no					
APU25_01340	4DD830763A1E09B0835E190837E57A17	118	no	no					
APU25_01345	0FB6162CCB2482DF3029199737FE52C4	358	no	no					
APU25_01350	5E09762C2385FE65962DDDB1CE3C5FB7	492	no	yes	6	2	0	3	GO:0000244,GO:0000398,GO:0046540
APU25_01355	A5902FCBE05F0D5A15E90B875FE0A49A	515	no	no					
APU25_01360	C33E98D6606237D4EF5D17BF25D60A6F	527	no	yes	1	1	0		
APU25_01365	B4B429E923DFA34784C8828620A11026	1104	no	no					
APU25_01370	744FA1363281340E10F34FAF3666301C	388	no	no					
APU25_01375	9CE194F465D49122825C8D83E8F34F32	640	no	no					
APU25_01380	CA8C84200E04516BA20754186F942AF2	204	yes	no					
APU25_01385	C927C6222614AD43AB7323C9582101EF	117	yes	no					
APU25_01390	822ECDC673DCE07483942F9F2489D4B9	132	yes	no					
APU25_01395	15F8B8EAE8723391571FCDB6C97B7EF0	171	no	no					
APU25_01400	8E42D87BA8A025BF0EB3451EC8BEC80B	533	no	no					
APU25_01405	A2BECA61F2A3655ECA4821DD4539445A	864	no	yes	2	1	0		
APU25_01410	7FFF890FF06CD8DB83A120BF3C7F49FF	68	no	yes	1	1	0	3	GO:0006406,GO:0008541,GO:0043248
APU25_01415	43F449D779AC3F8E24EC73CD19164F9F	290	no	yes	5	1	0	4	GO:0004672,GO:0004674,GO:0005524,GO:0006468
APU25_01420	8E511F024880AA8AA883782707D673B6	399	no	no					
APU25_01425	706022888E2D649B8CEB5DD7BA8162AB	582	no	yes	5	2	0	2	GO:0005524,GO:0016887
APU25_01430	5DEBC0B33D158B25F55BC191354A5495	322	no	yes	5	2	0	3	GO:0003676,GO:0005515,GO:0008270
APU25_01435	DF02C67193E8460F43530D71BBCE0EE2	122	no	yes	2	1	0		
APU25_01440	EB7DA1CFBBD0F5380131BCEC1176F274	851	no	yes	6	2	0	1	GO:0019888
APU25_01445	D72B7DE4F3DD8FE3CE6C612E1566A812	297	no	no					
APU25_01450	CAB4D90B6692922E88167D19F160F591	419	no	yes	3	1	0	2	GO:0016020,GO:0032977
APU25_01455	28ACDD8E88130D88EFD9C978A854F749	876	no	no					
APU25_01460	9BAC9710BD21E2DFAA547E9AFD9370A6	587	no	yes	4	1	0	3	GO:0008521,GO:0016020,GO:0035348
APU25_01465	45928E6CD2D5770C9E1E99E2CE0F9C2A	211	yes	no					
APU25_01470	FF075AB81F758B34DDC4653B74F76299	292	no	yes	0	0	0		
APU25_01475	3FECD5A3649D852D1569735D12558052	363	no	yes	1	1	0		
APU25_01480	4C08A860EFEEA624547F968E2B2E1758	2352	no	no					
APU25_01485	6A0FC536E5ABA8590C64EDDE8F22B0BF	589	no	no					
APU25_01490	E234035C9F09429473A1495F19C3DC8B	326	no	no					
APU25_01495	4BBA2EE5CF3F1C4FFE9A59DD087AA172	466	no	no					
APU25_01500	4CAC70B8B6185A89C462FB9DAAA4268B	305	no	no					
APU25_01505	9A9FFAC5FD2B9DE080CBADD6DE1C7032	161	no	yes	0	0	0		
APU25_01510	3955EDE45871AB2FE1D66129A64E4206	268	no	no					
APU25_01515	2CE13586E25DB205FC1C6C8C330CCF80	325	no	no					
APU25_01520	1BDEEFDA33737903213AD0DCE3D2C2BF	478	no	no					
APU25_01525	F632F750B7FFE17392198AF28945E28F	182	no	yes	0	0	0		
APU25_01530	563A14E7E98F6F05365871DADA9BF14F	427	no	yes	5	2	0	3	GO:0003676,GO:0003724,GO:0005524
APU25_01535	E0F0685188CA50F6D2890346F9E824AA	258	no	yes	2	1	0	1	GO:0005759
