locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	symbol_source	product_source	dup_pair_id	interpro_family_candidates	interpro_family_unresolved	interpro_domain_all	interpro_structural_only	symbol_rejected	symbol_rejected_reason	eggnog_data_row
APU25_00165	MRPL53	hypothetical protein	1	CM128225.1	100867	101644	+	3	131	ACKKBF_B00205	B	1.0000	pass	eggnog	none		IPR019716 Large ribosomal subunit protein mL53; IPR052473 Mitochondrial Large Ribosomal Subunit mL53	TRUE					TRUE
APU25_00170	NIK1	Chloroplast-associated Reproductive Support & Metal Ion Transport	1	CM128225.1	101967	103624	-	4	380	ACKKBG_A00210	A	0.9789	pass	eggnog	interpro_family								TRUE
APU25_00175	PAF1	RNA polymerase II associated factor Paf1	1	CM128225.1	104101	106757	+	9	395	ACKKBG_A00215	A	0.9975	pass	utex250a	interpro_family								TRUE
APU25_00180		hypothetical protein	1	CM128225.1	107005	109818	-	6	611	ACKKBF_B00220	B	0.9984	pass	none	none								TRUE
APU25_00185	RPC1	DNA-directed RNA polymerase subunit/transcription factor S	1	CM128225.1	109871	110732	-	4	108	ACKKBG_A00225	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00190	g589	hypothetical protein	1	CM128225.1	111578	112248	+	3	132	ACKKBF_B39465	B-only	0.9848	pass	eggnog	none								TRUE
APU25_00195		hypothetical protein	1	CM128225.1	112133	112935	+	1	267	ACKKBG_A00230	A	0.9438	internal_stop,frameshift	none	none								FALSE
APU25_00200	SNRK1B	Protein kinase domain-containing protein	1	CM128225.1	113458	117516	+	5	869	ACKKBF_B00235	B	0.9954	pass	utex250a	interpro_domain				IPR000719 Protein kinase domain				TRUE
APU25_00205		hypothetical protein	1	CM128225.1	118684	121147	-	4	653	ACKKBF_B00240	B	0.9969	pass	none	none	DUP0002							TRUE
APU25_00210		Alpha-ketoglutarate-dependent hydroxylases	1	CM128225.1	122156	123733	-	3	424	ACKKBG_A00245	A	0.9882	pass	none	interpro_family	DUP0002							TRUE
APU25_00215	VPS52	Vps52	1	CM128225.1	124319	129010	+	13	773	ACKKBF_B00250	B	0.9987	pass	utex250a	interpro_family								TRUE
APU25_00220	g238	GINS complex subunit Sld5	1	CM128225.1	129571	130802	+	4	213	ACKKBG_A00255	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00225	AGD1	Arogenate dehydrogenase 1/2	1	CM128225.1	130988	133158	-	6	400	ACKKBF_B00260	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00230	RPB8	DNA-directed RNA polymerases I, II, and III subunit RPABC3	1	CM128225.1	133487	134097	+	2	151	ACKKBG_A00265	A	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00235	g249	Major facilitator superfamily associated domain-containing protein	1	CM128225.1	134548	139185	-	12	922	ACKKBF_B00270	B	0.9978	internal_stop	eggnog	interpro_domain				IPR024989 Major facilitator superfamily associated domain				TRUE
APU25_00240	g622	Small ribosomal subunit protein bTHX	1	CM128225.1	139646	140243	+	3	113	ACKKBG_A00275	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00245	g625	hypothetical protein	1	CM128225.1	140551	140828	-	2	63	ACKKBG_A00280	tie	1.0000	pass	eggnog	none								TRUE
APU25_00250	g626	Transcription factor IIIC subunit Tfc1/Sfc1	1	CM128225.1	141252	143881	+	9	423	ACKKBF_B00285	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00255	AKC4	ABC1 atypical kinase-like domain-containing protein	1	CM128225.1	145011	149633	+	14	759	ACKKBF_B00290	B	0.9987	pass	utex250a	interpro_domain				IPR004147 ABC1 atypical kinase-like domain				TRUE
APU25_00260	NOL1	hypothetical protein	1	CM128225.1	150026	152138	-	7	318	ACKKBF_B00295	B	1.0000	pass	utex250a	none		IPR002347 Short-chain dehydrogenase/reductase SDR; IPR052625 Chlorophyll b Reductase	TRUE					TRUE
APU25_00265	BRD2	Bromodomain and NET domain-containing protein	1	CM128225.1	152728	155384	+	5	609	ACKKBF_B00300	B	0.9934	no_start_Met	eggnog	interpro_domain_multi				IPR001487 Bromodomain; IPR027353 NET domain				TRUE
APU25_00270		hypothetical protein	1	CM128225.1	156487	166020	+	2	3123	ACKKBG_A00305	A-only	0.8526	no_start_Met	none	none								TRUE
APU25_00275		hypothetical protein	1	CM128225.1	166682	169171	+	5	536	ACKKBF_B00310	B	0.9981	pass	none	none								TRUE
APU25_00280	IAH1	Isoamyl acetate-hydrolyzing esterase Iah1-like	1	CM128225.1	169653	170622	+	2	246	ACKKBF_B00315	B	0.9837	pass	eggnog	interpro_family								TRUE
APU25_00285		SUA-like, OCRE and OCRE domain-containing protein	1	CM128225.1	171175	173185	-	6	432	ACKKBF_B00320	B	0.9954	pass	none	interpro_domain_multi				IPR035623 SUA-like, OCRE domain; IPR041591 OCRE domain		LOC107893985	loc_placeholder	TRUE
APU25_00290	GLYK1	hypothetical protein	1	CM128225.1	173482	175417	+	5	357	ACKKBF_B00325	B	1.0000	pass	utex250a	none					TRUE			TRUE
APU25_00295	sufA	FeS A-type assembly protein IscA, plant/cyanobacteria	1	CM128225.1	175646	176454	-	3	167	ACKKBG_A00330	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00300	deh1	Helicase superfamily 1/2, ATP-binding and DEAD/DEAH-box helicase domain-containing protein	1	CM128225.1	177967	180203	-	5	418	ACKKBG_A00335	tie	1.0000	pass	eggnog	interpro_domain_multi				IPR014001 Helicase superfamily 1/2, ATP-binding domain; IPR011545 DEAD/DEAH-box helicase domain; IPR001650 Helicase, C-terminal domain-like				TRUE
APU25_00305	TATC1	Sec-independent periplasmic protein translocase TatC	1	CM128225.1	180626	182469	+	4	331	ACKKBF_B00340	B	0.9970	pass	utex250a	interpro_family								TRUE
APU25_00310		Selenoprotein SelK/SelG	1	CM128225.1	182790	183322	-	3	93	ACKKBG_A00345	tie	0.9462	no_start_Met	none	interpro_family								FALSE
APU25_00315		hypothetical protein	1	CM128225.1	183808	187039	-	6	760	ACKKBF_B00350	B	0.9921	pass	none	none								FALSE
APU25_00320		Saccharopine dehydrogenase-like oxidoreductase	1	CM128225.1	187454	190107	+	10	413	ACKKBG_A00355	A	0.9952	pass	none	interpro_family								TRUE
APU25_00325	CMPK1	Phosphoribulokinase/uridine kinase and CYTH domain-containing protein	1	CM128225.1	193753	197289	+	7	756	ACKKBF_B00360	B	0.9947	no_start_Met	utex250a	interpro_domain_multi				IPR006083 Phosphoribulokinase/uridine kinase; IPR023577 CYTH domain				TRUE
APU25_00330	TSM2	Methionine-tRNA synthetase, type 2	1	CM128225.1	197700	201013	-	8	619	ACKKBF_B00365	B	0.9968	pass	utex250a	interpro_family								TRUE
APU25_00335	VPS13D	Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding and C2 domain-containing protein	1	CM128225.1	201594	228404	-	25	7068	ACKKBF_B00370	B	0.9942	pass	eggnog	interpro_domain_multi				IPR009543 Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding domain; IPR000008 C2 domain				TRUE
APU25_00340		Transcription initiation factor IIF, beta subunit	1	CM128225.1	228890	230140	+	4	261	ACKKBF_B00375	B	0.9962	pass	none	interpro_family						LOC109008276	loc_placeholder	TRUE
APU25_00345	g788	Chloride channel	1	CM128225.1	230608	234866	+	5	1130	ACKKBF_B00380	B	0.9991	pass	eggnog	interpro_family								TRUE
APU25_00350	g893	Gfo/Idh/MocA-like oxidoreductase, N-terminal and GFO/IDH/MocA-like oxidoreductase domain-containing protein	1	CM128225.1	235334	236886	-	4	355	ACKKBF_B00385	B	0.9944	pass	eggnog	interpro_domain_multi				IPR000683 Gfo/Idh/MocA-like oxidoreductase, N-terminal; IPR055170 GFO/IDH/MocA-like oxidoreductase domain				TRUE
APU25_00355	COAD1	Cytidyltransferase-like domain-containing protein	1	CM128225.1	237324	238747	-	4	315	ACKKBF_B00390	B	0.9937	pass	utex250a	interpro_domain				IPR004821 Cytidyltransferase-like domain				TRUE
APU25_00360	HAT2	Histone acetyltransferase type B, catalytic subunit	1	CM128225.1	239163	241360	+	7	451	ACKKBF_B00395	B	0.9978	pass	utex250a	interpro_family								TRUE
APU25_00365	spl4	KIN17, C2H2-type zinc finger and Zinc finger C2H2-type domain-containing protein	1	CM128225.1	241574	243621	-	5	416	ACKKBF_B00400	B	0.9976	no_start_Met	eggnog	interpro_domain_multi				IPR056767 KIN17, C2H2-type zinc finger domain; IPR013087 Zinc finger C2H2-type; IPR019447 DNA/RNA-binding protein Kin17, WH-like domain; IPR041330 KN17, SH3-like domain; IPR041995 Kin17, KOW domain				TRUE
APU25_00370		hypothetical protein	1	CM128225.1	244302	244958	+	1	219	ACKKBG_A00405	A-only	0.9269	pass	none	none								FALSE
APU25_00375	spl4	hypothetical protein	1	CM128225.1	244373	246356	-	3	548	ACKKBF_B00410	B	0.9909	pass	eggnog	none								TRUE
APU25_00380	TBA1	Dihydroorotate dehydrogenase, catalytic domain-containing protein	1	CM128225.1	247205	249915	+	9	435	ACKKBG_A00415	A	0.9931	pass	utex250a	interpro_domain				IPR005720 Dihydroorotate dehydrogenase, catalytic				TRUE
APU25_00385	EDR1	hypothetical protein	1	CM128225.1	250406	253570	+	5	752	ACKKBF_B00420	B	0.9823	internal_stop,frameshift	eggnog	none								TRUE
APU25_00390	B3GALT2	Glycosyl transferase, family 31	1	CM128225.1	254340	256783	-	4	567	ACKKBF_B00425	B	0.9894	pass	eggnog	interpro_family								TRUE
APU25_00395	GSH2	Glutathione synthase	1	CM128225.1	257129	259342	-	3	557	ACKKBG_A00430	A	0.9910	pass	utex250a	interpro_family								TRUE
APU25_00400		DnaJ domain-containing protein	1	CM128225.1	259518	261630	+	3	595	ACKKBF_B00435	B	0.9849	pass	none	interpro_domain				IPR001623 DnaJ domain				TRUE
APU25_00405		hypothetical protein	1	CM128225.1	261909	263764	-	7	280	ACKKBG_A00440	A	0.9536	internal_stop,frameshift	none	none								FALSE
APU25_00410		Glutathione S-transferase, N-terminal and Glutathione S-transferase, C-terminal-like domain-containing protein	1	CM128225.1	264646	266369	-	7	267	ACKKBG_A00445	tie	0.9963	pass	none	interpro_domain_multi	DUP0003			IPR004045 Glutathione S-transferase, N-terminal; IPR010987 Glutathione S-transferase, C-terminal-like		LOC112276817	loc_placeholder	TRUE
APU25_00415		FAN-like, N-terminal PH and PH-BEACH domain-containing protein	1	CM128225.1	266553	271468	-	6	1303	ACKKBF_B00450	B	0.9946	pass	none	interpro_domain_multi	DUP0003			IPR057496 FAN-like, N-terminal PH domain; IPR023362 PH-BEACH domain; IPR000409 BEACH domain		LOC112276817	loc_placeholder	TRUE
APU25_00420	Snap29	Target SNARE coiled-coil homology domain-containing protein	1	CM128225.1	272178	273992	+	6	266	ACKKBG_A00455	A	0.9962	pass	eggnog	interpro_domain				IPR000727 Target SNARE coiled-coil homology domain				TRUE
APU25_00425	CRR1L1	SBP domain-containing protein	1	CM128225.1	274496	278261	-	5	1022	ACKKBG_A00460	A	0.9648	pass	utex250a	interpro_domain				IPR004333 SBP domain				TRUE
APU25_00430	SAP9	Ubiquitin-like domain-containing protein	1	CM128225.1	279053	279891	+	3	173	ACKKBG_A00465	A	1.0000	pass	eggnog	interpro_domain				IPR000626 Ubiquitin-like domain				TRUE
APU25_00435		DnaJ domain-containing protein	1	CM128225.1	280178	281444	-	5	218	ACKKBF_B00470	B	0.9908	pass	none	interpro_domain				IPR001623 DnaJ domain				TRUE
APU25_00440	RAPTOR1	Raptor, N-terminal CASPase-like domain-containing protein	1	CM128225.1	281992	289617	+	11	1711	ACKKBG_A00475	A	0.9883	pass	utex250a	interpro_domain				IPR029347 Raptor, N-terminal CASPase-like domain				TRUE
APU25_00445		hypothetical protein	1	CM128225.1	290029	291422	-	4	336	ACKKBF_B00480	B	0.9881	pass	none	none					TRUE			TRUE
APU25_00450		hypothetical protein	1	CM128225.1	291940	293141	+	4	279	ACKKBF_B00485	B	0.9821	pass	none	none								FALSE
APU25_00455	FEC1	hypothetical protein	1	CM128225.1	293259	296046	-	5	494	ACKKBG_A00490	A	1.0000	pass	utex250a	none		IPR001015 Ferrochelatase; IPR063966 High light-inducible protein HliA-D-like	TRUE					TRUE
APU25_00460		hypothetical protein	1	CM128225.1	297512	298614	+	3	238	ACKKBF_B00495	B	0.9958	pass	none	none								TRUE
APU25_00465	RAD54A	Helicase superfamily 1/2, ATP-binding and SNF2, N-terminal domain-containing protein	1	CM128225.1	298934	303289	-	10	792	ACKKBF_B00500	B	0.9924	pass	utex250a	interpro_domain_multi				IPR014001 Helicase superfamily 1/2, ATP-binding domain; IPR000330 SNF2, N-terminal domain; IPR001650 Helicase, C-terminal domain-like; IPR049730 SNF2/RAD5-like, C-terminal helicase domain				TRUE
APU25_00470		Rab3GAP regulatory subunit	1	CM128225.1	303519	305720	-	6	461	ACKKBF_B00505	B	0.9957	pass	none	interpro_family								TRUE
APU25_00475	RCHY1	Zinc finger, CHY-type and Zinc finger, CTCHY-type domain-containing protein	1	CM128225.1	306244	308125	+	6	346	ACKKBF_B00510	B	0.9942	pass	eggnog	interpro_domain_multi				IPR008913 Zinc finger, CHY-type; IPR017921 Zinc finger, CTCHY-type; IPR001841 Zinc finger, RING-type; IPR027370 Zinc finger, RING-type, eukaryotic; IPR039512 RCHY1, zinc-ribbon				TRUE
APU25_00480		Chromatin modification-related protein Eaf6	1	CM128225.1	308296	309077	-	4	122	ACKKBF_B00515	B	1.0000	pass	none	interpro_family						LOC107760102	loc_placeholder	TRUE
APU25_00485		hypothetical protein	1	CM128225.1	309599	314868	-	7	1333	ACKKBF_B00520	B	0.9880	pass	none	none								TRUE
APU25_00490	ERV14	Cornichon	1	CM128225.1	314990	315952	+	4	157	ACKKBG_A00525	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00495	TSN1	Asparagine-tRNA ligase	1	CM128225.1	316257	319191	-	5	592	ACKKBF_B00530	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00500	ALDH22	Aldehyde dehydrogenase domain-containing protein	1	CM128225.1	319919	324049	-	15	584	ACKKBF_B00535	B	1.0000	pass	utex250a	interpro_domain				IPR015590 Aldehyde dehydrogenase domain				TRUE
APU25_00505		hypothetical protein	1	CM128225.1	324352	325023	+	3	145	ACKKBF_B00540	B	0.9931	pass	none	none					TRUE			FALSE
APU25_00510	CMC1	Cytochrome c oxidase biogenesis protein Cmc1-like	1	CM128225.1	325402	325981	-	3	91	ACKKBF_B00545	B	0.9890	pass	utex250a	interpro_family								TRUE
APU25_00515	PAM18	TIM14, N-terminal transmembrane region and TIM14, C-terminal domain-containing protein	1	CM128225.1	326551	327001	+	2	110	ACKKBF_B00550	B	0.9909	no_start_Met	utex250a	interpro_domain_multi				IPR063298 TIM14, N-terminal transmembrane region; IPR064065 TIM14, C-terminal domain; IPR001623 DnaJ domain				TRUE
APU25_00520	NIS1	Nicastrin, small lobe domain-containing protein	1	CM128225.1	327198	330066	-	6	651	ACKKBG_A00555	A	0.9754	pass	utex250a	interpro_domain				IPR041084 Nicastrin, small lobe				TRUE
APU25_00525	CPLD64	Protein FAM210A/B-like	1	CM128225.1	330540	331398	+	3	194	ACKKBF_B00560	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00530	SMARCA4	SANT/Myb domain-containing protein	1	CM128225.1	331973	336259	-	7	974	ACKKBF_B00565	B	0.9938	no_start_Met	eggnog	interpro_domain				IPR001005 SANT/Myb domain				TRUE
APU25_00535	OGD1	2-oxoglutarate dehydrogenase E1 component	1	CM128225.1	336422	339932	+	3	1028	ACKKBF_B00570	B	0.9990	pass	utex250a	interpro_family								TRUE
APU25_00540		hypothetical protein	1	CM128225.1	346134	348163	+	8	297	ACKKBG_A00580	tie	0.9966	pass	none	none								TRUE
APU25_00545		hypothetical protein	1	CM128225.1	349140	350307	+	5	192	ACKKBG_A00585	A	0.9635	pass	none	none								TRUE
APU25_00550	BBR	E3 ubiquitin ligase BIG BROTHER-like	1	CM128225.1	351423	352709	+	6	210	ACKKBG_A00590	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00555	UXS1	WD repeat-containing DNA damage-binding protein	1	CM128225.1	353011	355942	+	9	506	ACKKBF_B00595	B	0.9980	pass	eggnog	interpro_family	DUP0004							TRUE
APU25_00560	UXS1	UDP-glucuronic acid decarboxylase-like	1	CM128225.1	356336	358959	+	8	345	ACKKBF_B00600	B	1.0000	pass	utex250a	interpro_family	DUP0004							TRUE
APU25_00565		Alpha/beta hydrolase fold-1 domain-containing protein	1	CM128225.1	359319	360890	+	5	330	ACKKBF_B00605	B	0.9970	pass	none	interpro_domain				IPR000073 Alpha/beta hydrolase fold-1				TRUE
APU25_00570		AB hydrolase	1	CM128225.1	361804	363717	+	6	345	ACKKBG_A00615	A-only	0.9768	pass	none	interpro_family	DUP0005							TRUE
APU25_00575		Alpha/beta hydrolase fold-1 domain-containing protein	1	CM128225.1	364264	366148	+	6	335	ACKKBF_B00620	B	0.9940	pass	none	interpro_domain	DUP0005			IPR000073 Alpha/beta hydrolase fold-1				TRUE
APU25_00580		Sodium/solute symporter	1	CM128225.1	367093	369288	-	3	585	ACKKBF_B00635	B	0.9897	pass	none	interpro_family								TRUE
APU25_00585	SUOX	Eukaryotic molybdopterin oxidoreductase	1	CM128225.1	370487	372691	+	3	544	ACKKBF_B00640	B	0.9963	pass	eggnog	interpro_family								TRUE
APU25_00590	ESP1	SEPARIN core domain-containing protein	1	CM128225.1	373025	380293	-	13	1830	ACKKBF_B00645	B	0.9891	pass	utex250a	interpro_domain				IPR030397 SEPARIN core domain				TRUE
APU25_00595	XPB1	Helicase XPB/Ssl2	1	CM128225.1	380617	385806	-	14	868	ACKKBF_B00650	B	0.9977	pass	eggnog	interpro_family								TRUE
APU25_00600	UBC12	Ubiquitin-conjugating (UBC), catalytic core domain-containing protein	1	CM128225.1	386397	387462	+	4	192	ACKKBF_B00655	B	1.0000	pass	utex250a	interpro_domain				IPR000608 Ubiquitin-conjugating (UBC), catalytic core domain				TRUE
APU25_00605		hypothetical protein	1	CM128225.1	387949	389553	-	5	305	ACKKBG_A00660	A	0.9902	pass	none	none								TRUE
APU25_00610		Expansin/pollen allergen, DPBB domain-containing protein	1	CM128225.1	390081	391336	-	2	306	ACKKBF_B00665	B	1.0000	pass	none	interpro_domain				IPR007112 Expansin/pollen allergen, DPBB domain				TRUE
APU25_00615		hypothetical protein	1	CM128225.1	392174	393555	+	3	342	ACKKBG_A00670	A	0.9971	pass	none	none					TRUE			TRUE
APU25_00620	SAD2	Glycolipid transfer protein domain-containing protein	1	CM128225.1	394117	395163	+	4	203	ACKKBF_B00675	B	1.0000	pass	eggnog	interpro_domain				IPR014830 Glycolipid transfer protein domain				TRUE
APU25_00625	ACD11	Glycolipid transfer protein domain-containing protein	1	CM128225.1	395407	396594	+	5	204	ACKKBF_B00680	B	1.0000	pass	eggnog	interpro_domain				IPR014830 Glycolipid transfer protein domain				TRUE
APU25_00630	SAD2	Importin-beta, N-terminal and Exportin-2, central domain-containing protein	1	CM128225.1	397203	403615	+	15	1043	ACKKBG_A00685	A	0.9942	pass	eggnog	interpro_domain_multi				IPR001494 Importin-beta, N-terminal domain; IPR013713 Exportin-2, central domain				TRUE
APU25_00635		hypothetical protein	1	CM128225.1	403767	404242	-	3	73	ACKKBG_A00690	tie	0.9863	no_start_Met	none	none	DUP0006							TRUE
APU25_00640		Palmitoyltransferase, DHHC domain-containing protein	1	CM128225.1	404705	406670	-	5	404	ACKKBG_A00695	A	0.9901	pass	none	interpro_domain	DUP0006			IPR001594 Palmitoyltransferase, DHHC domain				TRUE
APU25_00645	PHT4D	hypothetical protein	1	CM128225.1	407004	409582	+	6	545	ACKKBG_A00700	A	0.9982	pass	utex250a	none		IPR011701 Major facilitator superfamily; IPR044777 Solute carrier family 17 member 9-like	TRUE					TRUE
APU25_00650	XEG113	Nucleotide-diphospho-sugar transferase domain-containing protein	1	CM128225.1	410493	414294	+	13	645	ACKKBG_A00705	A	0.9969	pass	eggnog	interpro_domain				IPR005069 Nucleotide-diphospho-sugar transferase				TRUE
APU25_00655		Isochorismatase-like domain-containing protein	1	CM128225.1	414635	415877	-	5	202	ACKKBG_A00710	A	1.0000	pass	none	interpro_domain				IPR000868 Isochorismatase-like domain		LOC104592140	loc_placeholder	TRUE
APU25_00660		FAD dependent oxidoreductase domain-containing protein	1	CM128225.1	416356	418242	-	3	470	ACKKBF_B00715	B	0.9894	pass	none	interpro_domain				IPR006076 FAD dependent oxidoreductase		LOC101490776	loc_placeholder	TRUE
APU25_00665		DnaJ domain-containing protein	1	CM128225.1	419120	421756	+	5	647	ACKKBG_A00720	A	0.9567	pass	none	interpro_domain				IPR001623 DnaJ domain				FALSE
APU25_00670		Domain of unknown function DUF220 domain-containing protein	1	CM128225.1	421977	423283	-	5	205	ACKKBG_A00725	tie	1.0000	pass	none	interpro_domain				IPR003863 Domain of unknown function DUF220				TRUE
APU25_00675	PUX2	PUB and UBX domain-containing protein	1	CM128225.1	424055	426315	+	5	471	ACKKBF_B00730	B	0.9644	pass	eggnog	interpro_domain_multi				IPR018997 PUB domain; IPR001012 UBX domain				TRUE
APU25_00680		hypothetical protein	1	CM128225.1	426485	429636	-	6	718	ACKKBF_B00740	B	0.9568	no_start_Met	none	none								TRUE
APU25_00685		hypothetical protein	1	CM128225.1	431557	431883	+	1	108	ACKKBG_A12495	A-only	0.9630	pass	none	none								FALSE
