locus_tag	source	interpro_accessions	pfam_accessions	ncbifam	prosite	smart	cdd	superfamily	n_domains	interpro_accessions_other_libs
APU25_00455	matches_api	IPR001015,IPR019772,IPR033644,IPR033659,IPR063966	PF00762,PF31213	TIGR00109	PS00534		cd00419,cd03411	SSF103511,SSF53800	8	
APU25_00460	matches_api								0	
APU25_00465	ips6_local	IPR000330,IPR001650,IPR014001,IPR027417,IPR049730	PF00176,PF00271		PS51192,PS51194	SM00487,SM00490	cd18004,cd18793	SSF52540	9	
APU25_00470	matches_api	IPR032839	PF14655						1	IPR026059
APU25_00475	ips6_local	IPR001841,IPR008913,IPR017921,IPR027370,IPR037274,IPR037275,IPR039512	PF05495,PF13445,PF14599		PS50089,PS51266,PS51270	SM00184		SSF161219,SSF161245,SSF57850	10	
APU25_00480	matches_api	IPR015418	PF09340						1	
APU25_00485	ips6_local								0	
APU25_00490	matches_api	IPR003377	PF03311			SM01398			2	
APU25_00495	matches_api	IPR000738,IPR004364,IPR004365,IPR004522,IPR006195,IPR012340,IPR045864	PF00152,PF01336	NF003037,TIGR00457	PS50862,PS51185		cd00776,cd04318	SSF50249,SSF55681	10	IPR002312
APU25_00500	matches_api	IPR015590,IPR016160,IPR016161,IPR029510	PF00171		PS00070,PS00687			SSF53720	4	IPR016162,IPR016163
APU25_00505	ips6_local	IPR017956				SM00384			1	
APU25_00510	ips6_local	IPR013892	PF08583						1	
APU25_00515	ips6_local	IPR001623,IPR036869,IPR063298,IPR064065	PF30912,PF30914		PS50076	SM00271	cd06257	SSF46565	6	
APU25_00520	ips6_local	IPR041084	PF05450,PF18266					SSF53187	3	
APU25_00525	matches_api	IPR009688	PF06916						1	IPR045866
APU25_00530	ips6_local	IPR001005,IPR009057	PF13921		PS50090		cd00167	SSF46689	4	
APU25_00535	matches_api	IPR001017,IPR005475,IPR011603,IPR029061,IPR031717,IPR032106	PF00676,PF02779,PF16078,PF16870	NF006914,NF008907,TIGR00239		SM00861	cd02016	SSF52518	10	IPR042179
APU25_00540	ips6_local								0	
APU25_00545	ips6_local								0	
APU25_00550	matches_api	IPR001841	PF13639		PS50089	SM00184		SSF57850	4	IPR013083,IPR043312
APU25_00555	matches_api	IPR001680,IPR036322	PF00400		PS50082,PS50294	SM00320		SSF50978	5	IPR015943,IPR050853
APU25_00560	matches_api	IPR016040,IPR036291	PF16363				cd05230	SSF51735	3	IPR044516
APU25_00565	ips6_local	IPR000073,IPR029058	PF00561					SSF53474	2	
APU25_00570	matches_api	IPR000073,IPR029058	PF00561					SSF53474	2	IPR050471
APU25_00575	ips6_local	IPR000073,IPR029058	PF00561					SSF53474	2	
APU25_00580	ips6_local	IPR001734	PF00474		PS50283				2	
APU25_00585	matches_api	IPR000572,IPR001199,IPR005066,IPR014756,IPR022407,IPR036374,IPR036400	PF00173,PF00174,PF03404		PS00559,PS50255	SM01117	cd02111	SSF55856,SSF56524,SSF81296	10	IPR008335
APU25_00590	ips6_local	IPR030397	PF03568		PS51700				2	
APU25_00595	ips6_local	IPR001161,IPR001650,IPR006935,IPR014001,IPR027417,IPR032438,IPR032830	PF04851,PF13625,PF16203	TIGR00603	PS51192,PS51194	SM00487,SM00490	cd18029,cd18789	SSF52540	11	
APU25_00600	matches_api	IPR000608,IPR016135,IPR023313	PF00179		PS00183,PS50127	SM00212	cd23797	SSF54495	6	
APU25_00605	matches_api								0	
APU25_00610	matches_api	IPR007112,IPR036908			PS50842		cd22271	SSF50685	3	IPR036749
APU25_00615	ips6_local	IPR036908					cd22271	SSF50685	2	
APU25_00620	matches_api	IPR014830,IPR036497	PF08718					SSF110004	2	
APU25_00625	matches_api	IPR014830,IPR036497	PF08718					SSF110004	2	
APU25_00630	ips6_local	IPR001494,IPR013713,IPR016024	PF03810,PF08506		PS50166	SM00913		SSF48371	5	
APU25_00635	ips6_local								0	
APU25_00640	ips6_local	IPR001594	PF01529		PS50216				2	
APU25_00645	ips6_local	IPR011701,IPR020846,IPR036259,IPR044777	PF07690		PS50850		cd17380	SSF103473	4	
APU25_00650	ips6_local	IPR005069	PF03407						1	
APU25_00655	matches_api	IPR000868,IPR036380	PF00857				cd00431	SSF52499	3	
APU25_00660	ips6_local	IPR006076,IPR036188	PF01266					SSF51905	2	
APU25_00665	ips6_local	IPR001623,IPR036869	PF00226		PS50076	SM00271	cd06257	SSF46565	5	
APU25_00670	matches_api	IPR003863	PF02713					SSF55961	2	IPR023393
APU25_00675	ips6_local	IPR001012,IPR018997,IPR029071,IPR036339	PF00789,PF09409		PS50033	SM00580	cd09212	SSF143503,SSF54236	7	
APU25_00680	ips6_local								0	
APU25_00685	ips6_local								0	
APU25_00690	ips6_local	IPR000719,IPR011009	PF00069		PS50011			SSF56112	3	
APU25_00695	matches_api								0	
APU25_00700	ips6_local								0	
APU25_00705	ips6_local	IPR007452	PF04357						1	
APU25_00710	matches_api	IPR001041,IPR010241,IPR036010	PF00111	TIGR02008	PS51085		cd00207	SSF54292	5	IPR012675
APU25_00715	ips6_local	IPR000073,IPR029058	PF12697					SSF53474	2	
APU25_00720	matches_api	IPR000504,IPR035979	PF00076		PS50102	SM00360		SSF54928	4	IPR012677
APU25_00725	ips6_local	IPR013112,IPR013130,IPR017927	PF01794,PF08022		PS51384				3	
APU25_00730	ips6_local	IPR013112,IPR013130,IPR017927	PF01794,PF08022		PS51384				3	
APU25_00735	ips6_local								0	
APU25_00740	ips6_local	IPR013112,IPR013130	PF01794,PF08022				cd06186		3	
APU25_00745	matches_api	IPR013112,IPR013130,IPR017927	PF01794,PF08022		PS51384		cd06186		4	IPR039261
APU25_00750	ips6_local	IPR013112,IPR013130,IPR017927,IPR017938	PF01794,PF08022		PS51384		cd06186	SSF63380	5	
APU25_00755	matches_api	IPR013216,IPR029063	PF08241				cd02440	SSF53335	3	IPR050508
APU25_00760	ips6_local	IPR015947						SSF88697	1	
APU25_00765	matches_api	IPR000719,IPR002048,IPR008271,IPR011009,IPR011992,IPR017441,IPR018247	PF00069,PF13499		PS00018,PS00107,PS00108,PS50011,PS50222	SM00054,SM00220	cd05117	SSF47473,SSF56112	12	IPR050205
APU25_00770	ips6_local	IPR010084,IPR013114,IPR029069	PF07977	NF000582			cd01288	SSF54637	4	
APU25_00775	ips6_local								0	
APU25_00780	ips6_local	IPR000626,IPR001611,IPR003591,IPR029071	PF13855		PS50053	SM00364,SM00369		SSF52058,SSF54236	6	
APU25_00785	ips6_local								0	
APU25_00790	ips6_local								0	
APU25_00795	matches_api	IPR002347,IPR020904,IPR036291,IPR057326	PF13561		PS00061	SM00822		SSF51735	4	
APU25_00800	ips6_local								0	
APU25_00805	ips6_local								0	
APU25_00810	ips6_local	IPR004326	PF03094						1	
APU25_00815	matches_api	IPR002347,IPR011294,IPR020904,IPR036291	PF00106	NF009093,TIGR01963	PS00061			SSF51735	5	IPR050259
APU25_00820	ips6_local								0	
APU25_00825	matches_api	IPR002068,IPR008978	PF00011		PS01031		cd06464	SSF49764	4	IPR031107
APU25_00830	ips6_local	IPR040855,IPR045667	PF07034,PF18137				cd20704		3	
APU25_00835	ips6_local	IPR004776	PF03547						1	
APU25_00840	ips6_local	IPR002641,IPR016035	PF01734		PS51635			SSF52151	3	
APU25_00845	ips6_local	IPR005788,IPR005792,IPR013766,IPR017937,IPR036249	PF00085,PF13848	TIGR01126,TIGR01130	PS00194,PS51352		cd02961,cd02981,cd02995	SSF52833	10	
APU25_00850	ips6_local	IPR007482	PF04387						1	
APU25_00855	ips6_local	IPR019547	PF10520						1	
APU25_00860	ips6_local	IPR003316,IPR036390	PF02319			SM01372		SSF46785	3	
APU25_00865	matches_api	IPR011990,IPR019734	PF13432		PS50005	SM00028		SSF48452	4	IPR050498
APU25_00870	ips6_local	IPR001404,IPR019805,IPR020568,IPR020575,IPR036890,IPR037196	PF00183,PF13589	NF003555	PS00298,PS51257		cd16927	SSF110942,SSF54211,SSF55874	9	
APU25_00875	ips6_local	IPR013126,IPR018181,IPR029047,IPR029048,IPR042050,IPR043129	PF00012	NF001413	PS00297,PS00329,PS01036		cd10241	SSF100920,SSF100934,SSF53067	9	
APU25_00880	matches_api	IPR001789,IPR011006			PS50110	SM00448		SSF52172	3	IPR045279
APU25_00885	matches_api	IPR008629,IPR037215	PF05419				cd16383	SSF140869	3	
APU25_00890	ips6_local								0	
APU25_00895	ips6_local	IPR000644,IPR001093,IPR005990,IPR015875,IPR046342	PF00478,PF00571	TIGR01302	PS00487,PS51371	SM01240	cd00381,cd04601	SSF51412,SSF54631	10	
APU25_00900	ips6_local	IPR001199,IPR018506,IPR036400	PF00173		PS00191,PS50255	SM01117		SSF55856	5	
APU25_00905	matches_api	IPR014756,IPR040445,IPR041647	PF01007,PF17655					SSF81296,SSF81324	4	IPR013518,IPR016449
APU25_00910	ips6_local	IPR008831	PF05669						1	
APU25_00915	ips6_local								0	
APU25_00920	ips6_local	IPR012977,IPR016024	PF08158					SSF48371	2	
APU25_00925	matches_api								0	
APU25_00930	matches_api	IPR002088	PF01239		PS51147			SSF48439	3	
APU25_00935	ips6_local	IPR015947,IPR019614,IPR029063,IPR041532	PF10672,PF17785				cd02440,cd11572,cd21153	SSF53335,SSF88697	7	
APU25_00940	ips6_local		PF13483						1	
APU25_00945	matches_api	IPR000489,IPR000550,IPR006390,IPR011005,IPR035907	PF00809,PF01288	TIGR01496,TIGR01498	PS00792,PS00793,PS00794,PS50972		cd00483,cd00739	SSF51717,SSF55083	12	IPR045031
APU25_00950	matches_api	IPR005345	PF03660						1	
APU25_00955	matches_api		PF09741						1	IPR019141
APU25_00960	ips6_local	IPR001412,IPR002300,IPR002303,IPR009008,IPR009080,IPR010978,IPR013155,IPR019499,IPR033705	PF00133,PF08264,PF10458	NF004349,TIGR00422	PS00178		cd00817,cd07962	SSF46589,SSF47323,SSF50677,SSF52374	12	
APU25_00965	ips6_local	IPR001926,IPR006653,IPR006654,IPR036052	PF00291	TIGR00263	PS00168		cd06446	SSF53686	5	
APU25_00970	ips6_local	IPR022170	PF12483						1	
APU25_00975	matches_api	IPR001272,IPR008210,IPR015994	PF01293	NF006820,NF006821,TIGR00224	PS00532		cd00484	SSF53795,SSF68923	8	IPR013035
APU25_00980	matches_api	IPR006694	PF04116						1	IPR050307
APU25_00985	matches_api	IPR002684,IPR006638,IPR007197,IPR010722,IPR058240	PF04055,PF06968	TIGR00433	PS51918	SM00729,SM00876	cd01335	SSF102114	8	IPR013785,IPR024177
APU25_00990	matches_api	IPR002110,IPR036770	PF00023,PF12796		PS50088,PS50297	SM00248		SSF48403	6	
APU25_00995	ips6_local	IPR018108,IPR023395	PF00153		PS50920			SSF103506	3	
APU25_01000	matches_api	IPR001932,IPR036457	PF00481		PS51746	SM00332	cd00143	SSF81606	5	IPR015655
APU25_01005	ips6_local	IPR039438	PF12907					SSF118359	2	
APU25_01010	matches_api	IPR002921,IPR029058	PF01764				cd00519	SSF53474	3	IPR051218
APU25_01015	ips6_local	IPR029041						SSF51730	1	
APU25_01020	matches_api								0	
APU25_01025	ips6_local	IPR000089,IPR001882,IPR005479,IPR005481,IPR005482,IPR011053,IPR011054,IPR011761,IPR011764,IPR016185,IPR041265	PF00289,PF00364,PF02785,PF02786,PF18140	NF006367	PS00188,PS00866,PS00867,PS50968,PS50975,PS50979	SM00878	cd06850	SSF51230,SSF51246,SSF52440,SSF56059	18	
APU25_01030	matches_api	IPR006133,IPR006134,IPR006172,IPR012337,IPR017964,IPR025687,IPR043502,IPR056435	PF00136,PF03104,PF14260,PF24055	TIGR00592	PS00116	SM00486	cd05533,cd05777	SSF53098,SSF56672	11	IPR023211,IPR036397,IPR042087,IPR050240
APU25_01035	ips6_local	IPR014730,IPR033947	PF01012			SM00893	cd01715	SSF52402	4	
APU25_01040	matches_api								0	
APU25_01045	matches_api	IPR004856	PF03155						1	
APU25_01050	matches_api	IPR021298	PF11069						1	
APU25_01055	ips6_local								0	
APU25_01060	matches_api	IPR001692,IPR012131,IPR016161	PF00815	TIGR00069	PS00611		cd06572	SSF53720	5	IPR022695
APU25_01065	matches_api	IPR000268,IPR020789,IPR023580	PF01194	NF003089	PS01112			SSF46924	4	
APU25_01070	ips6_local	IPR007185,IPR054300	PF04042,PF22062						2	
APU25_01075	matches_api								0	
APU25_01080	matches_api	IPR005599	PF03901						1	
APU25_01085	ips6_local	IPR004843,IPR008963,IPR015914,IPR025733,IPR029052,IPR040974,IPR041792	PF00149,PF14008,PF16656,PF17808				cd00839	SSF49363,SSF56300	7	
APU25_01090	ips6_local	IPR036915						SSF47954	1	
APU25_01095	ips6_local	IPR008011,IPR045297	PF05347				cd20264		2	
APU25_01100	ips6_local	IPR000504,IPR025742,IPR026896,IPR035979	PF00076,PF14304,PF14327		PS50102	SM00360	cd12398	SSF54928	7	
APU25_01105	matches_api	IPR000791	PF01184	NF038013					2	IPR047623
APU25_01110	ips6_local	IPR003000,IPR026590,IPR029035	PF02146		PS50305		cd01408	SSF52467	4	
APU25_01115	ips6_local	IPR002821,IPR003692,IPR008040,IPR049517	PF01968,PF02538,PF05378,PF19278						4	
APU25_01120	ips6_local								0	
APU25_01125	ips6_local	IPR001005,IPR009057,IPR017930	PF00249		PS50090,PS51294	SM00717	cd00167	SSF46689	6	
APU25_01130	matches_api	IPR023696,IPR023801	PF00850				cd09991	SSF52768	3	IPR000286,IPR003084,IPR037138
APU25_01135	ips6_local								0	
APU25_01140	matches_api								0	
APU25_01145	ips6_local	IPR016024						SSF48371	1	
APU25_01150	matches_api	IPR004871,IPR011047,IPR018846,IPR058543	PF03178,PF10433,PF23726					SSF50998	4	IPR015943,IPR050358
APU25_01155	matches_api	IPR001806,IPR005225,IPR027417	PF00071	TIGR00231	PS51419	SM00174,SM00175		SSF52540	6	
APU25_01160	ips6_local	IPR000315,IPR010402,IPR049808	PF00643,PF06203		PS50119,PS51017	SM00336	cd19821		6	
APU25_01165	matches_api	IPR019542	PF10513						1	IPR024943
APU25_01170	ips6_local	IPR036278					cd15482	SSF50939	2	
APU25_01175	ips6_local	IPR004364,IPR004365,IPR004523,IPR006195,IPR012340,IPR045864	PF00152,PF01336	NF003483,TIGR00458	PS50862		cd00776,cd04320	SSF50249,SSF55681	9	
APU25_01180	ips6_local	IPR001841			PS50089	SM00184	cd16448	SSF57850	4	
APU25_01185	ips6_local	IPR018108,IPR023395	PF00153		PS50920			SSF103506	3	
APU25_01190	ips6_local						cd11660		1	
APU25_01195	matches_api	IPR003959,IPR027417,IPR048571	PF00004,PF21228					SSF52540	3	IPR044960
APU25_01200	ips6_local	IPR002775,IPR036882	PF01918					SSF82704	2	
APU25_01205	ips6_local	IPR005607,IPR035925	PF03909		PS50858	SM00751		SSF140383	4	
APU25_01210	ips6_local	IPR005339,IPR021151,IPR036224,IPR056783	PF05916,PF24997				cd11710,cd21696	SSF158573	5	
APU25_01215	ips6_local	IPR002921,IPR029058,IPR063390	PF01764,PF31009					SSF53474	3	
APU25_01220	ips6_local	IPR003721	PF02569	TIGR00018			cd00560	SSF52374	4	
APU25_01225	ips6_local	IPR001330,IPR008930,IPR026873	PF00432				cd02894	SSF48239	3	
APU25_01230	matches_api	IPR003750,IPR012340,IPR029028	PF02598		PS51257		cd18086	SSF50249,SSF75217	5	IPR029026
APU25_01235	ips6_local	IPR000834,IPR008969	PF00246		PS52035	SM00631		SSF49464,SSF53187	5	
APU25_01240	matches_api	IPR001680,IPR019775,IPR036322,IPR056551	PF00400,PF23098		PS00678,PS50082,PS50294	SM00320	cd00200	SSF50978	8	IPR015943,IPR020472,IPR051980
APU25_01245	matches_api	IPR000407	PF01150		PS01238				2	
APU25_01250	ips6_local	IPR004853,IPR037185	PF03151					SSF103481	2	
APU25_01255	ips6_local								0	
APU25_01260	ips6_local	IPR000719,IPR008271,IPR011009	PF00069		PS00108,PS50011	SM00220		SSF56112	5	
APU25_01265	ips6_local								0	
APU25_01270	ips6_local								0	
APU25_01275	ips6_local	IPR000719,IPR008271,IPR011009,IPR017441	PF00069		PS00107,PS00108,PS50011	SM00220		SSF56112	6	
APU25_01280	ips6_local								0	
APU25_01285	matches_api	IPR000537,IPR011937,IPR026046	PF01040	TIGR02235			cd13962		3	
APU25_01290	matches_api								0	
APU25_01295	ips6_local	IPR011722,IPR036623	PF08755	TIGR02097		SM00992		SSF141255	4	
APU25_01300	ips6_local	IPR002921,IPR029058	PF01764				cd00519	SSF53474	3	
APU25_01305	ips6_local	IPR013929,IPR013930,IPR016024	PF08620,PF08621					SSF48371	3	
APU25_01310	ips6_local	IPR008429	PF05602						1	
APU25_01315	matches_api	IPR007201,IPR035979	PF04059				cd12277	SSF54928	3	
APU25_01320	matches_api	IPR001965,IPR011011,IPR019786,IPR019787,IPR024610	PF12998		PS01359,PS50016	SM00249,SM01408	cd15587	SSF57903	7	IPR013083,IPR028651
APU25_01325	matches_api	IPR005484,IPR057268	PF00861				cd00432	SSF53137	3	
APU25_01330	ips6_local	IPR003593,IPR003959,IPR007034,IPR012948,IPR027417,IPR030387,IPR037875	PF00004,PF04950,PF08142		PS51714	SM00382,SM00785,SM01362	cd01882	SSF52540	9	
APU25_01335	ips6_local	IPR053939,IPR053940	PF06862,PF22916						2	
APU25_01340	ips6_local								0	
APU25_01345	ips6_local	IPR004853,IPR037185	PF03151					SSF103481	2	
APU25_01350	matches_api	IPR002687,IPR012976,IPR019175,IPR036070	PF01798,PF09785		PS51358	SM00931		SSF89124	5	IPR027105,IPR042239
APU25_01355	ips6_local	IPR002523,IPR039204,IPR045863	PF01544,PF22099				cd12823	SSF144083	4	
APU25_01360	matches_api	IPR010820	PF07223						1	
APU25_01365	ips6_local	IPR008532,IPR021846	PF05670,PF05833,PF11923						3	
APU25_01370	ips6_local	IPR013766,IPR036249	PF00085		PS51257			SSF52833	3	
APU25_01375	ips6_local	IPR011050						SSF51126	1	
APU25_01380	ips6_local								0	
APU25_01385	ips6_local								0	
APU25_01390	ips6_local								0	
APU25_01395	ips6_local								0	
APU25_01400	ips6_local	IPR003663,IPR005828,IPR005829,IPR020846,IPR036259,IPR044778	PF00083	TIGR00879	PS00216,PS00217,PS50850		cd17361	SSF103473	7	
APU25_01405	matches_api	IPR009030,IPR011641	PF07699			SM01411	cd00185	SSF57184	4	
APU25_01410	matches_api	IPR007834	PF05160			SM01385			2	
APU25_01415	matches_api	IPR000719,IPR008271,IPR011009,IPR039192	PF00069		PS00108,PS50011	SM00220	cd14137	SSF56112	6	IPR050591
APU25_01420	ips6_local	IPR011990,IPR019544	PF10516					SSF48452	2	
APU25_01425	matches_api	IPR003593,IPR003959,IPR003960,IPR027417,IPR041569	PF00004,PF17862		PS00674	SM00382	cd19501	SSF52540	6	
APU25_01430	matches_api	IPR000253,IPR001878,IPR008984,IPR036875	PF00098,PF00498		PS50006,PS50158	SM00240,SM00343		SSF49879,SSF57756	8	IPR050923
APU25_01435	matches_api	IPR049551	PF14765						1	IPR042104
APU25_01440	matches_api	IPR006887,IPR016024,IPR055236	PF04802,PF22972					SSF48371,SSF50729	4	IPR011989,IPR011993,IPR051137
APU25_01445	ips6_local								0	
