locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggNOG_OGs	eggnog_tax_ceiling	eggnog_farthest_donor_lineage	eggnog_COG_category	eggnog_Preferred_name	eggnog_GOs	eggnog_EC	eggnog_KEGG_ko	eggnog_KEGG_Pathway	eggnog_KEGG_Module	eggnog_KEGG_Reaction	eggnog_KEGG_rclass	eggnog_BRITE	eggnog_KEGG_TC	eggnog_CAZy	eggnog_BiGG_Reaction	eggnog_PFAMs	eggnog_annotation_confidence
APU25_00055		hypothetical protein	1	CM128225.1	45994	47721	+	7	297	ACKKBG_A00080	tie	0.9832	pass	3076.A0A2P6TGQ4	6.49e-63	211.0	Abhydrolase_1@131567|BCe-20	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;3071;3076	COG0596													Abhydrolase_1_78_331	------------h
APU25_00060		hypothetical protein	1	CM128225.1	48154	50110	-	7	411	ACKKBG_A00085	A	1.0000	pass	3075.A0A087SP21	2.14e-139	405.0	CDC27@131567|A-1	Eukaryota	1;131567;2759;2698737;33634;2696291;569578;2870;2877;2878;2879;2880	S	POLD3		ec:2.4.2.14	K03504	03030,03410,03420,03430,03440	M00048			00001,01009,03032,03400				CDC27_20_223	l-lhhl--h---h
APU25_00065	GLE1	hypothetical protein	1	CM128225.1	50620	53245	+	6	609	ACKKBG_A00090	tie	1.0000	pass	3075.A0A087SP22	4.08e-209	596.0	GLE1@2759|A-1	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222545;37989;37990;77043;77044	S	GLE1	GO:0005515,GO:0005634,GO:0005635,GO:0048316		K18723	03013,03015				00001,03019				GLE1_98_331	ll-hh---h---h
APU25_00070		hypothetical protein	1	CM128225.1	53453	53969	+	3	66	ACKKBG_A00095	tie	1.0000	pass	3076.A0A2P6TGE6	9.14e-12	67.0	Metallophos@131567|DVE-24,PsbQ@131567|M-4	Eukaryota	1;131567;2759;33090;3041;2302911;2302912;2302913;2302914;1764295	COG5739	PSBQ			K08901	00195,01100				00001,00194				Metallophos_1700_1823,Metallophos_2232_2369,PsbQ_18_203	l--mm---m---h
APU25_00075		hypothetical protein	1	CM128225.1	54007	59705	+	9	1331	ACKKBG_A00100	A	0.9970	pass	3075.A0A087SP23	0.0	2178.0	UNK.A3T4@35461|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;126838;554055	S														-------------
APU25_00080		hypothetical protein	1	CM128225.1	59974	61435	-	6	243	ACKKBG_A00105	tie	1.0000	pass	3075.A0A087SP24	8.1e-97	287.0	UNK.4JGZ@131567|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;3166;2812636;3042;3065;3066;3067;3068	COG2050														-------------
APU25_00085	PSBQ1	hypothetical protein	1	CM128225.1	62101	63609	+	6	206	ACKKBG_A00110	tie	1.0000	pass	3075.A0A087SP25	1.5e-116	337.0	PsbQ@131567|M-4	Eukaryota	1;131567;2759;33090;3041;2302911;2302912;2302913;2302914;1764295	COG5739	PSBQ			K08901	00195,01100				00001,00194				PsbQ_15_188	l--hh---h---h
APU25_00090	RIP5	hypothetical protein	1	CM128225.1	63750	64359	-	3	124	ACKKBG_A00115	tie	0.9839	pass	3075.A0A087SP26	1.79e-77	232.0	EMC6@131567|B-2	Eukaryota	1;131567;2759;2611352;33682;5653;2704647;2704949;5654;5690;47570;5693;353153	S	emc6	GO:0003674,GO:0005635,GO:0005783,GO:0005789,GO:0008150,GO:0032977,GO:0045050,GO:0071816		K23567					00001,04131				EMC6_38_116	ll-h----h---h
APU25_00095	FAP189	hypothetical protein	1	CM128225.1	64638	70187	-	24	867	ACKKBF_B00120	B	0.9885	pass																					
APU25_00100		hypothetical protein	1	CM128225.1	70704	71305	+	2	141	ACKKBG_A00130	tie	0.9929	pass																					
APU25_00105	CRTISO1	hypothetical protein	1	CM128225.1	71522	74556	-	11	524	ACKKBG_A00135	tie	1.0000	pass	3075.A0A087SP28	0.0	1037.0	Amino_oxidase@131567|Kc-10	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;41768;3465;1462614;56856;56857	COG1233	CRTISO	GO:0009507,GO:0009662,GO:0016117,GO:0046608	ec:5.2.1.13	K09835	00906,01100,01110	M00097			00001,01000				Amino_oxidase_21_483	llllll--l---h
APU25_00110		hypothetical protein	1	CM128225.1	75915	77907	+	5	441	ACKKBG_A00140	tie	0.9751	pass	3075.A0A087SP29	1.02e-144	434.0	Metallophos@131567|gI-16	Eukaryota	1;131567;2759;3027;589342;589343;55528;55529;905079	COG0420	MRE11	GO:0000014,GO:0000019,GO:0000403,GO:0000723,GO:0000724,GO:0000727,GO:0000729,GO:0000781,GO:0000785,GO:0000791,GO:0000794,GO:0000795,GO:0003677,GO:0003678,GO:0003684,GO:0003690,GO:0003691,GO:0004017,GO:0004518,GO:0004519,GO:0004520,GO:0005515,GO:0005575,GO:0005634,GO:0005654,GO:0005657,GO:0005694,GO:0005737,GO:0005739,GO:0005829,GO:0006281,GO:0006284,GO:0006302,GO:0006303,GO:0006310,GO:0006357,GO:0006974,GO:0007004,GO:0007062,GO:0007095,GO:0007129,GO:0007131,GO:0007507,GO:0008150,GO:0008283,GO:0008296,GO:0008311,GO:0008408,GO:0010780,GO:0010791,GO:0016605,GO:0016787,GO:0030145,GO:0030437,GO:0030870,GO:0031573,GO:0031860,GO:0032204,GO:0032206,GO:0034599,GO:0035753,GO:0035825,GO:0035861,GO:0036297,GO:0042138,GO:0042162,GO:0042802,GO:0043047,GO:0043066,GO:0044818,GO:0045027,GO:0045296,GO:0046597,GO:0048471,GO:0051276,GO:0051310,GO:0051321,GO:0051880,GO:0060090,GO:0061484,GO:0062176,GO:0070533,GO:0071466,GO:0097552,GO:0098687,GO:0110025,GO:0140445,GO:1990918,GO:2000781,GO:2001033	ec:2.1.1.202	K15334	03440,03450,04144,04218				00001,01000,03016				Metallophos_313_435	llhhl---h---h
APU25_00115		hypothetical protein	1	CM128225.1	78488	80125	+	4	341	ACKKBG_A00145	tie	1.0000	pass	3075.A0A087SP29	1.15e-233	655.0	Metallophos@131567|gI-16	Eukaryota	1;131567;2759;3027;589342;589343;55528;55529;905079	COG0420	MRE11	GO:0000014,GO:0000019,GO:0000403,GO:0000723,GO:0000724,GO:0000727,GO:0000729,GO:0000781,GO:0000785,GO:0000791,GO:0000794,GO:0000795,GO:0003677,GO:0003678,GO:0003684,GO:0003690,GO:0003691,GO:0004017,GO:0004518,GO:0004519,GO:0004520,GO:0005515,GO:0005575,GO:0005634,GO:0005654,GO:0005657,GO:0005694,GO:0005737,GO:0005739,GO:0005829,GO:0006281,GO:0006284,GO:0006302,GO:0006303,GO:0006310,GO:0006357,GO:0006974,GO:0007004,GO:0007062,GO:0007095,GO:0007129,GO:0007131,GO:0007507,GO:0008150,GO:0008283,GO:0008296,GO:0008311,GO:0008408,GO:0010780,GO:0010791,GO:0016605,GO:0016787,GO:0030145,GO:0030437,GO:0030870,GO:0031573,GO:0031860,GO:0032204,GO:0032206,GO:0034599,GO:0035753,GO:0035825,GO:0035861,GO:0036297,GO:0042138,GO:0042162,GO:0042802,GO:0043047,GO:0043066,GO:0044818,GO:0045027,GO:0045296,GO:0046597,GO:0048471,GO:0051276,GO:0051310,GO:0051321,GO:0051880,GO:0060090,GO:0061484,GO:0062176,GO:0070533,GO:0071466,GO:0097552,GO:0098687,GO:0110025,GO:0140445,GO:1990918,GO:2000781,GO:2001033	ec:2.1.1.202	K15334	03440,03450,04144,04218				00001,01000,03016				Metallophos_313_435	llhhl---h---h
APU25_00120	COPD1	hypothetical protein	1	CM128225.1	80650	83068	+	6	515	ACKKBG_A00150	A	1.0000	pass	3075.A0A087SP30	0.0	985.0	Adap_comp_sub@131567|A-1*,Adap_comp_sub@2759|B-2	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;27319;3303203;498019	S	LOC103723959	GO:0003674,GO:0005737,GO:0005798,GO:0005886,GO:0006886,GO:0006890,GO:0006891,GO:0007436,GO:0008150,GO:0008344,GO:0009306,GO:0009506,GO:0010883,GO:0021691,GO:0035158,GO:0043473,GO:0048193		K20471					00001,04131				Adap_comp_sub_274_514	ll-h----h---h
APU25_00125	RPL4	hypothetical protein	1	CM128225.1	83610	85193	+	3	388	ACKKBG_A00155	tie	1.0000	pass	3075.A0A087SP31	3.25e-270	741.0	Ribos_L4_asso_C@131567|A-1,Ribosomal_L4@131567|A-1	Eukaryota	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903	COG0088	rpl4	GO:0000325,GO:0002181,GO:0003360,GO:0003729,GO:0003735,GO:0005730,GO:0005737,GO:0005773,GO:0005829,GO:0005886,GO:0006412,GO:0006941,GO:0007283,GO:0008340,GO:0009505,GO:0009506,GO:0022625,GO:0022626,GO:0030154,GO:0045773,GO:0050772,GO:0140236,GO:0140242,GO:1901740		K02930	03010				00001,01610,03011				Ribos_L4_asso_C_274_346,Ribosomal_L4_21_260	ll-hh---h---h
APU25_00130		hypothetical protein	1	CM128225.1	86123	87895	+	5	356	ACKKBF_B00160	B	0.9972	pass	3075.A0A087SP32	9.8e-120	351.0	CAP@35461|GOO-32,CAP@131567|C-2!	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;28983;33196;278938	COG2340	SC7	GO:0000287,GO:0000324,GO:0003674,GO:0005504,GO:0005575,GO:0005576,GO:0005635,GO:0005783,GO:0008150,GO:0009277,GO:0009986,GO:0015485,GO:0015908,GO:0015918,GO:0030430,GO:0030445,GO:0032934,GO:0042025,GO:0062040,GO:0071466,GO:0071944,GO:1903561		K13449					00001				CAP_87_153	ll-l----l---h
APU25_00135		hypothetical protein	1	CM128225.1	88786	89724	+	4	153	ACKKBF_B00170	B	0.9869	pass	1291522.A0A059LJT3	3.08e-30	115.0	CAP@131567|C-2!	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;28983;33196;278938	COG2340	SC7	GO:0000287,GO:0000324,GO:0003674,GO:0005504,GO:0005575,GO:0005576,GO:0005635,GO:0005783,GO:0008150,GO:0009277,GO:0009986,GO:0015485,GO:0015908,GO:0015918,GO:0030430,GO:0030445,GO:0032934,GO:0042025,GO:0062040,GO:0071466,GO:0071944,GO:1903561		K13449					00001				CAP_59_159	ll-h----h---h
APU25_00140		hypothetical protein	1	CM128225.1	91054	92157	+	5	178	ACKKBG_A00175	tie	0.9888	pass	3075.A0A087SP33	1.08e-121	348.0	CAP@131567|C-2!	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;28983;33196;278938	COG2340	SC7	GO:0000287,GO:0000324,GO:0003674,GO:0005504,GO:0005575,GO:0005576,GO:0005635,GO:0005783,GO:0008150,GO:0009277,GO:0009986,GO:0015485,GO:0015908,GO:0015918,GO:0030430,GO:0030445,GO:0032934,GO:0042025,GO:0062040,GO:0071466,GO:0071944,GO:1903561		K13449					00001				CAP_46_173	ll-l----l---h
APU25_00145	CGL124	hypothetical protein	1	CM128225.1	93243	94447	+	4	251	ACKKBF_B00180	B	0.9960	pass																					
APU25_00150	UPM1	hypothetical protein	1	CM128225.1	94746	96342	-	3	402	ACKKBF_B00185	B	0.9975	pass	3075.A0A087SP35	8.32e-258	710.0	TP_methylase@131567|Ja-12	Eukaryota	1;131567;2759;2763;2806;2045261;31468;31469;2781;448386	COG0007	UPMT1	GO:0004851,GO:0009416,GO:0009507,GO:0019354,GO:0090352,GO:1900058,GO:1902326	ec:2.1.1.107	K02303	00860,01100,01110,01240	M00846,M00924,M00925			00001,01000				TP_methylase_76_288	hlhhhh--h---h
APU25_00155		hypothetical protein	1	CM128225.1	96640	98964	+	5	532	ACKKBF_B00190	B	0.9944	pass	574566.I0Z5M1	2.79e-67	232.0	NusB@131567|C-2,Methyltr_RsmB-F@131567|Iu-14	Eukaryota	1;131567;2759;33090;3041;2302911;2302912;2302913;2302914;1764295	COG0144	LOC106765232		ec:2.1.1.176	K03500					00001,01000,03009				Methyltr_RsmB-F_251_449,NusB_28_122	l-hh----h---h
APU25_00160		hypothetical protein	1	CM128225.1	99396	100478	-	4	188	ACKKBG_A00200	tie	1.0000	pass	3075.A0A087SP38	1.05e-134	382.0	PUA@131567|B-2,Pre-PUA@131567|C-2	Eukaryota	1;131567;2759;2698737;33630;5878;431838;6020;31277;37090;5931;5932;857967	COG2016	MCTS1	GO:0000184,GO:0000339,GO:0001731,GO:0002188,GO:0003723,GO:0003743,GO:0005515,GO:0005575,GO:0005737,GO:0005829,GO:0008150,GO:0032790,GO:0032991,GO:0042254,GO:0043024,GO:0051726,GO:0070992,GO:0075522		K07575					00001,03019				PUA_100_177,Pre-PUA_13_95	ll-h----h---h
APU25_00165		hypothetical protein	1	CM128225.1	100867	101644	+	3	131	ACKKBF_B00205	B	1.0000	pass	3075.A0A087SP39	2.04e-84	250.0	MRP_L53@2759|A-1	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;110618;140106;78410	S	MRPL53	GO:0003674,GO:0003735,GO:0005515,GO:0005575,GO:0005739,GO:0005743,GO:0005762,GO:0008150,GO:0032543		K17434					00001,01610,03011				MRP_L53_16_64	ll-h----h---h
APU25_00170		hypothetical protein	1	CM128225.1	101967	103624	-	4	380	ACKKBG_A00210	A	0.9789	pass	3075.A0A087SP40	5.18e-141	408.0	UNK.72OU@131567|A-1	Eukaryota	1;131567;2759;33090;3041;1035538;13792;1525212;70447;2268852;242159;436017	S	NIK1													m------------
APU25_00175	PAF1	hypothetical protein	1	CM128225.1	104101	106757	+	9	395	ACKKBG_A00215	A	0.9975	pass	3075.A0A087SP41	2.48e-239	664.0	Paf1@2759|A-1	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;2793945;446948;946125	S	PAFA3501	GO:0000724,GO:0005515,GO:0005634,GO:0009910,GO:0016593		K15174	03082,04011				00001,03021				Paf1_29_334	ll-hl---h---h
APU25_00180		hypothetical protein	1	CM128225.1	107005	109818	-	6	611	ACKKBF_B00220	B	0.9984	pass	3075.A0A087SP42	1.66e-174	506.0	UNK.KF46@2692248|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;3166;2812636;35491;35466;307506;307507	S														-------------
APU25_00185	RPC1	hypothetical protein	1	CM128225.1	109871	110732	-	4	108	ACKKBG_A00225	tie	1.0000	pass	3055.A8I4N7	5.62e-51	164.0	TFIIS_C@131567|Ar-7	Eukaryota	1;131567;2759;33154;4751;112252;6029;469895;174683;174684;174685;1354746	COG1594	LOC116198725	GO:0003677,GO:0003700,GO:0003899,GO:0005515,GO:0005575,GO:0005634,GO:0005654,GO:0005666,GO:0005829,GO:0006354,GO:0006355,GO:0006383,GO:0006384,GO:0006386,GO:0008270,GO:0042780,GO:0042797,GO:0061484		K03019	03020				00001,01611,03021				TFIIS_C_69_107	ll-hh---h---h
APU25_00190		hypothetical protein	1	CM128225.1	111578	112248	+	3	132	ACKKBF_B39465	B-only	0.9848	pass	3075.A0A087SP44	2.02e-33	131.0	Pkinase|DJ29Z8@131567,Pkinase|DJ29Z8@2759	Eukaryota	1;131567;2759;2611341;5719;37104;181550;5721;5722		g589	GO:0000045,GO:0000086,GO:0000122,GO:0000131,GO:0000144,GO:0000152,GO:0000226,GO:0000278,GO:0000287,GO:0000785,GO:0000921,GO:0001403,GO:0001558,GO:0001666,GO:0001764,GO:0001786,GO:0001958,GO:0002028,GO:0002181,GO:0002841,GO:0002842,GO:0003006,GO:0003682,GO:0004672,GO:0004674,GO:0004679,GO:0004712,GO:0005515,GO:0005524,GO:0005543,GO:0005546,GO:0005575,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005768,GO:0005770,GO:0005783,GO:0005788,GO:0005789,GO:0005794,GO:0005829,GO:0005856,GO:0005886,GO:0005929,GO:0005935,GO:0005940,GO:0005982,GO:0006006,GO:0006109,GO:0006468,GO:0006629,GO:0006646,GO:0006656,GO:0006754,GO:0006907,GO:0006909,GO:0006914,GO:0006979,GO:0007005,GO:0007010,GO:0007040,GO:0007117,GO:0007124,GO:0007165,GO:0007210,GO:0007346,GO:0008140,GO:0008284,GO:0008285,GO:0008286,GO:0008340,GO:0008610,GO:0009267,GO:0009410,GO:0009411,GO:0009507,GO:0009594,GO:0009631,GO:0009635,GO:0009738,GO:0009749,GO:0009789,GO:0010050,GO:0010150,GO:0010182,GO:0010228,GO:0010332,GO:0010458,GO:0010468,GO:0010494,GO:0010508,GO:0010628,GO:0010629,GO:0010719,GO:0010830,GO:0010868,GO:0010975,GO:0014823,GO:0014850,GO:0015630,GO:0016239,GO:0016241,GO:0016301,GO:0016324,GO:0016607,GO:0017148,GO:0018105,GO:0019216,GO:0019395,GO:0019900,GO:0019901,GO:0019902,GO:0019954,GO:0030139,GO:0030163,GO:0030424,GO:0030425,GO:0030447,GO:0030587,GO:0030674,GO:0030730,GO:0031000,GO:0031139,GO:0031146,GO:0031285,GO:0031588,GO:0031648,GO:0031649,GO:0031669,GO:0032007,GO:0032174,GO:0032869,GO:0032880,GO:0032933,GO:0032991,GO:0033135,GO:0033211,GO:0033554,GO:0034198,GO:0034599,GO:0034614,GO:0035108,GO:0035264,GO:0035331,GO:0035556,GO:0036064,GO:0036503,GO:0038202,GO:0042149,GO:0042542,GO:0042557,GO:0042593,GO:0042594,GO:0042595,GO:0042752,GO:0042826,GO:0043025,GO:0043050,GO:0043066,GO:0043114,GO:0043153,GO:0043161,GO:0043276,GO:0043627,GO:0044010,GO:0044058,GO:0044180,GO:0044182,GO:0044732,GO:0044877,GO:0044879,GO:0045197,GO:0045595,GO:0045721,GO:0045722,GO:0045792,GO:0045821,GO:0045893,GO:0045944,GO:0045947,GO:0045948,GO:0046321,GO:0046326,GO:0046626,GO:0046627,GO:0046777,GO:0046956,GO:0047322,GO:0048156,GO:0048643,GO:0048705,GO:0048813,GO:0050321,GO:0050709,GO:0050714,GO:0050773,GO:0050821,GO:0050868,GO:0050870,GO:0050995,GO:0051654,GO:0051701,GO:0051726,GO:0055007,GO:0055089,GO:0060176,GO:0060258,GO:0060351,GO:0060627,GO:0061066,GO:0061462,GO:0061744,GO:0061762,GO:0061987,GO:0062028,GO:0065003,GO:0070050,GO:0070300,GO:0070301,GO:0070507,GO:0071277,GO:0071333,GO:0071361,GO:0071380,GO:0071456,GO:0071466,GO:0071889,GO:0072657,GO:0072659,GO:0080022,GO:0085020,GO:0090200,GO:0097009,GO:0097284,GO:0098794,GO:0098978,GO:0099402,GO:0106310,GO:0110076,GO:0140648,GO:0140823,GO:0150052,GO:1900055,GO:1900181,GO:1900429,GO:1900481,GO:1901261,GO:1902074,GO:1902669,GO:1902935,GO:1903109,GO:1903665,GO:1903749,GO:1903829,GO:1903944,GO:1904101,GO:1904179,GO:1904262,GO:1904263,GO:1904294,GO:1904504,GO:1904515,GO:1904630,GO:1905691,GO:1990044,GO:1990794,GO:2000210,GO:2000221,GO:2000766,GO:2000786	ec:2.7.11.31	K07198	04011,04016,04068,04075,04111,04113,04138,04140,04150,04151,04152,04211,04213,04361,04371,04530,04710,04714,04910,04920,04921,04922,04931,04932,04936,05410,05418				00001,01000,01001,03029,04131				Pkinase_270_505	mllll---l---h
APU25_00195		hypothetical protein	1	CM128225.1	112133	112935	+	1	267	ACKKBG_A00230	A	0.9438	internal_stop,frameshift																					
